,ArticleId,timestamp,title,location_main,Phrase,Score
0,1,20160418_1727,Faillissement HoutBrox uitgesproken,Uden,bewindvoerders,0.186730532184
1,2,20160418_1727,Ongeluk tussen 4 auto's op A58 zorgt voor file richting Tilburg,112 Nieuws,file,0.191202146195
2,3,20160418_1727,Zelfs stuntman had auto met moeite zo in huis Helvoirt gekregen,Haaren,turnhout,0.281710555863
3,4,20160419_0923,Al 15 kandidaat-kopers voor failliete modeketen HoutBrox,Economie ,succesvolle doorstart,0.127029990959
4,5,20160419_0923,5 gewonden bij ongeluk Waspik,112 Nieuws,waspik,0.174633341913
5,6,20160419_0923,Gevangenen krijgen een tablet om zaken te regelen,Binnenland,gedetineerden,0.206230436278
6,7,20160419_1314,"Drugsafval blijkt amfetamine-olie, Tilburger opnieuw aangehouden",112 Nieuws,politie dinsdagochtend,0.151317902717
7,8,20160419_1314,Al 15 kandidaat-kopers voor failliete modeketen HoutBrox,Economie ,succesvolle doorstart,0.127029990959
8,9,20160419_1314,Verkoper moet onder bedreiging van wapen scooter afgeven in Den Bosch,112 Nieuws,scooter,0.233190835069
9,10,20160419_1643,120 statushouders uit nood niet in woning maar op terrein Autotron Rosmalen,'s-Hertogenbosch,statushouders,0.256756286154
10,11,20160419_1643,Geheime dienst waarschuwt voor aanslagen op stranden,Buitenland,italiaanse,0.269901801831
11,12,20160419_1643,'Braboneger' in Den Bosch veroordeeld voor mishandeling ,'s-Hertogenbosch,brunswijk,0.175873045705
12,13,20160420_0918,Farmabedrijf Janssen-Cilag vertrekt met 200 mensen uit Tilburg,Tilburg,janssen,0.155033761777
13,14,20160420_0918,Op de snelweg A2 richting Eindhoven is een vrachtwagen geladen met pakken melk gekanteld,Brabant,ongeval,0.166764872982
14,15,20160420_0918,Diessen slaat handen ineen voor begrafenis 13-jarige Susane,Hilvarenbeek,susane,0.273347473102
15,16,20160420_1305,Jeugdige overvallers van Tilburgs tankstation ook verdacht van busberovingen,Tilburg,overvallen,0.165371162124
16,17,20160420_1305,"Minder drugsafval gedumpt in Brabant, meer in buurprovincies",Brabant,dumpingen,0.196468654439
17,18,20160420_1305,Diessen slaat handen ineen voor begrafenis 13-jarige Susane,Hilvarenbeek,susane,0.273347473102
18,19,20160420_1655,Brabant: sloop van miljoenen meters stal onontkoombaar (video en kaart),Brabant,stallen,0.309322577778
19,20,20160420_1655,Verdachten in moordzaak Yvon Pfaff bang voor de maffia,'s-Hertogenbosch,pfaff,0.257558376769
20,21,20160420_1655,Roodkapje hele jaar weg uit Sprookjesbos in Efteling,Loon op Zand,efteling,0.152201614316
21,22,20160421_0916,Pretparken brengen dorpspolitiek soms in spagaat,Hilvarenbeek,gemeente,0.165524043988
22,23,20160421_0916,"Economische groei in bijna alle provincies in 2015, Brabant bovengemiddeld",Brabant,groei,0.326314964343
23,24,20160421_0916,Nog geen e-paper,Brabant,abonnees,0.157273414443
24,25,20160421_1210,"Uden gaat voor azc met 200 asielzoekers, inwoners mogen meepraten",Uden,uden,0.231444912937
25,26,20160421_1210,Pretparken brengen dorpspolitiek soms in spagaat,Hilvarenbeek,gemeente,0.165524043988
26,27,20160421_1210,Mark van Assen stopt als hoofdredacteur Brabants Dagblad,Brabant,hoofdredacteur,0.292430557252
27,28,20160422_0955,Uitspraak in zaak Chemie-Pack: welke straf krijgt bedrijfsleiding voor megabrand?,Brabant,celstraffen,0.115820874626
28,29,20160422_0955,Studentenorganisaties sturen brandbrief naar Bussemaker,Binnenland,onderwijs,0.18661517752
29,30,20160422_0955,Protest bij bijeenkomst over huisvesting statushouders in Herpen,Oss,herpen,0.119253648759
30,31,20160422_1156,Patsercontrole in Tilburg: 24 auto's in beslag genomen en 22.500 euro aan naheffingen opgelegd,112 Nieuws,beslag,0.13557261012
31,32,20160422_1156,Directeur Chemie-Pack vrijgesproken voor directe schuld aan grote brand,Brabant,chemiepack,0.155903606254
32,33,20160422_1156,Hoogleraar Tilburg University aan de slag als directeur bij Universiteit Maastricht,Tilburg,universiteit,0.225088442531
33,34,20160422_1644,"4 jaar cel voor Tilburger voor ontucht met kinderen in Oss, Vlijmen en Cromvoirt",Tilburg,seksuele,0.171545979158
34,35,20160422_1644,Zeer grote brand in opslagloods met pallets aan Houtsnipweg in Klundert (VIDEO),Brabant,klundert,0.298880818318
35,36,20160422_1644,Veroordeelde politieagent uit Tilburg wil nieuw onderzoek,Tilburg,yenice,0.323526478354
36,37,20160423_0926,Buschauffeurs Arriva in Tilburg staken na overval,Tilburg,arriva,0.239790222498
37,38,20160423_0926,Bredase officier van justitie die eigen bedreiging verzon niet vervolgd,Brabant,delft,0.285078481917
38,39,20160423_0926,Burgemeester Sint-Michielsgestel: 'Asielplan een van zwaarste klussen in loopbaan',Sint-Michielsgestel,pommer,0.147634960113
39,40,20160423_1224,Buschauffeurs Arriva in staking eisen directe maatregelen na overval Tilburg,Tilburg,arriva,0.24053147639
40,41,20160423_1224,Bredase officier van justitie die eigen bedreiging verzon niet vervolgd,Brabant,delft,0.266181987041
41,42,20160423_1224,Burgemeester Sint-Michielsgestel: 'Asielplan een van zwaarste klussen in loopbaan',Sint-Michielsgestel,pommer,0.147634960113
42,43,20160423_1709,Staking Arriva-buschauffeurs afgelopen,Tilburg,staking,0.172024521645
43,44,20160423_1709,Nieuw advies Bossche gemeenteraad nodig over lokale omroepen,'s-Hertogenbosch,lokale,0.15159965228
44,45,20160423_1709,Burgemeester Sint-Michielsgestel: 'Asielplan een van zwaarste klussen in loopbaan',Sint-Michielsgestel,pommer,0.147634960113
45,46,20160424_0740,Voortaan beveiliger mee in bus Tilburg',Tilburg,staking,0.137625606603
46,47,20160424_0740,Gewapende woningoverval Breda: daders maken geld en drugs buit,Brabant,bewoners,0.146057450279
47,48,20160424_0740,Automobilist ramt verkeerslicht en lantaarnpaal in Rijen,112 Nieuws,rijen,0.269497843036
48,49,20160424_1222,PPV wil videobeelden overval Arrivabus online verspreiden,Tilburg,arriva,0.177445821687
49,50,20160424_1222,Ontstemde reacties op arrestatie Ebru Umar,Binnenland,nvj,0.155340436024
50,51,20160424_1222,Man opgepakt na mishandeling medewerker nachtopvang,112 Nieuws,medewerker,0.205957672276
51,52,20160424_1642,Traumahelikopters naar dubbel ongeluk A59 bij Waalwijk,112 Nieuws,ongelukken,0.170312259351
52,53,20160424_1642,"Ebru Umar vrijgelaten, maar moet in Turkije blijven",Binnenland,turkse,0.420251094079
53,54,20160424_1642,Politie publiceert bewakingsvideo van overval bus Tilburg (video),112 Nieuws,bus,0.160388119504
54,55,20160425_0914,BOVAG wil opgevoerde scooter harder aanpakken,Binnenland,bovag,0.155463938007
55,56,20160425_0914,Verhoogde paraatheid en extra agenten op Koningsdag,Binnenland,koningsdag,0.124345779246
56,57,20160425_0914,"Grote stroomstoring in omgeving Waalwijk, Loon op Zand en Werkendam verholpen",Waalwijk,enexis,0.201249139086
57,58,20160425_1354,Overleden vrouw gevonden in Haaren,112 Nieuws,vrouw aangetroffen,0.195262905665
58,59,20160425_1354,Oproep: Met welke smoes werd u gelokt voor een lintje?,Brabant,smoezen,0.166244820596
59,60,20160425_1354,Zes scholen in Mechelen ontruimd na bommelding,Buitenland,leerlingen,0.214007593986
60,61,20160425_1712,Rapport: te weinig voordeel door ‘nieuwe’ N65 Vught/Helvoirt,Vught,rapport,0.235138239742
61,62,20160425_1712,Dode vrouw gevonden in Haaren; nog geen aanwijzingen voor misdrijf,112 Nieuws,vrouw,0.245704634573
62,63,20160426_0924,Vanaf 1 januari geen contant geld meer in bussen van Arriva,Tilburg,bussen,0.192963043245
63,64,20160426_0924,Veel gemeenten in Brabant in de min met weekmarkten,Brabant,weekmarkten,0.455494961311
